,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,albumName,albumID
Saving Night - Radio___Mike Zaloxx,0.481,0.919,4,-5.829,0,0.0465,0.000212,0.877,0.388,0.115,137.981,audio_features,4VMSISPnrpFyl2tXNbUj9B,spotify:track:4VMSISPnrpFyl2tXNbUj9B,https://api.spotify.com/v1/tracks/4VMSISPnrpFyl2tXNbUj9B,https://api.spotify.com/v1/audio-analysis/4VMSISPnrpFyl2tXNbUj9B,208702,4,Saving Night,4enRJzv2jZzK2rYh2028SS
Someone___Jubël,0.7,0.904,2,-4.03,1,0.0431,0.0531,8.03e-06,0.105,0.347,103.039,audio_features,68zNuCEl9UHTbcBltW2uDv,spotify:track:68zNuCEl9UHTbcBltW2uDv,https://api.spotify.com/v1/tracks/68zNuCEl9UHTbcBltW2uDv,https://api.spotify.com/v1/audio-analysis/68zNuCEl9UHTbcBltW2uDv,181102,4,Strawtown,5dqOVKaOh4pAL9XLYI0FOu
not ur friend___Jeremy Zucker,0.778,0.313,4,-9.288,1,0.421,0.301,0,0.667,0.707,68.936,audio_features,2b2LUjMx9LKwIARJf93Rbd,spotify:track:2b2LUjMx9LKwIARJf93Rbd,https://api.spotify.com/v1/tracks/2b2LUjMx9LKwIARJf93Rbd,https://api.spotify.com/v1/audio-analysis/2b2LUjMx9LKwIARJf93Rbd,174520,4,love is not dying,5mkf4N44kdEwYgaOk3hRLF
Endorphins - Tommy Trash Remix___Sub Focus,0.722,0.935,11,-3.862,0,0.0642,0.0149,0.0843,0.238,0.259,129.008,audio_features,1xv643DzzxPfEKnMvbjDCM,spotify:track:1xv643DzzxPfEKnMvbjDCM,https://api.spotify.com/v1/tracks/1xv643DzzxPfEKnMvbjDCM,https://api.spotify.com/v1/audio-analysis/1xv643DzzxPfEKnMvbjDCM,374815,4,Endorphins,6zBCQKry06gdBpR3jZOtAW
Save Tonight___Eagle-Eye Cherry,0.547,0.693,0,-8.786,1,0.0353,9.24e-05,5.46e-05,0.113,0.583,119.567,audio_features,1t2Hq2WIBcZINOEnK6mdJG,spotify:track:1t2Hq2WIBcZINOEnK6mdJG,https://api.spotify.com/v1/tracks/1t2Hq2WIBcZINOEnK6mdJG,https://api.spotify.com/v1/audio-analysis/1t2Hq2WIBcZINOEnK6mdJG,239227,4,Desireless,3P2WRy9eBoBbSTCZWGQOoO
"Body Talk (Mammoth) - US Version___Dimitri Vegas, Moguai & Like Mike",0.549,0.92,7,-4.721,1,0.301,0.00196,6.58e-05,0.487,0.621,127.981,audio_features,5OLVDfDtBQj4geZCvRmQGk,spotify:track:5OLVDfDtBQj4geZCvRmQGk,https://api.spotify.com/v1/tracks/5OLVDfDtBQj4geZCvRmQGk,https://api.spotify.com/v1/audio-analysis/5OLVDfDtBQj4geZCvRmQGk,207507,4,Body Talk (Mammoth),1UwotowFSiWyMc6w036kFc
Darling (feat. Missio)___Said the Sky,0.277,0.872,7,-5.302,0,0.502,0.323,5.32e-05,0.33,0.281,159.149,audio_features,5CrxyHP494lmFlLCOdiva8,spotify:track:5CrxyHP494lmFlLCOdiva8,https://api.spotify.com/v1/tracks/5CrxyHP494lmFlLCOdiva8,https://api.spotify.com/v1/audio-analysis/5CrxyHP494lmFlLCOdiva8,238498,4,Darling (feat. Missio),1kOY3Us2CNZXKYP9fAPXkd
Live Wire___Excision,0.308,0.973,0,-1.978,1,0.152,3.88e-05,0.703,0.42,0.277,110.037,audio_features,5RcNzfvsLprekUfaT6b3AQ,spotify:track:5RcNzfvsLprekUfaT6b3AQ,https://api.spotify.com/v1/tracks/5RcNzfvsLprekUfaT6b3AQ,https://api.spotify.com/v1/audio-analysis/5RcNzfvsLprekUfaT6b3AQ,252178,4,Codename X,0OquZOc2rkfMnHfRwQeTZn
ピースサイン___Kenshi Yonezu,0.593,0.935,10,-3.853,0,0.0684,0.00221,0,0.315,0.618,100.003,audio_features,5aHfGUxRec6c41luxkDqhX,spotify:track:5aHfGUxRec6c41luxkDqhX,https://api.spotify.com/v1/tracks/5aHfGUxRec6c41luxkDqhX,https://api.spotify.com/v1/audio-analysis/5aHfGUxRec6c41luxkDqhX,238533,4,Bootleg,5ztm773WXmGJDkzGWH0YXT
HARUKAZE(第343〜366話 OP)___Reiko Nakanishi,0.504,0.786,1,-1.213,0,0.0323,0.0371,0,0.119,0.432,164.941,audio_features,4qZW1eXx6y0SqWSXlcWXRl,spotify:track:4qZW1eXx6y0SqWSXlcWXRl,https://api.spotify.com/v1/tracks/4qZW1eXx6y0SqWSXlcWXRl,https://api.spotify.com/v1/audio-analysis/4qZW1eXx6y0SqWSXlcWXRl,274909,4,熱烈!アニソン魂 THE BEST カバー楽曲集 TVアニメシリーズ「BLEACH」 vol.6 [主題歌OP 編],0mwsEpMpvlA5kVnWNYa4Mi
Higher Place - Afrojack Remix___Dimitri Vegas & Like Mike,0.567,0.598,0,-9.925,1,0.0503,0.319,0.00114,0.0888,0.601,127.988,audio_features,3XqcH72SduQhCP7nWkPHhG,spotify:track:3XqcH72SduQhCP7nWkPHhG,https://api.spotify.com/v1/tracks/3XqcH72SduQhCP7nWkPHhG,https://api.spotify.com/v1/audio-analysis/3XqcH72SduQhCP7nWkPHhG,195586,4,Higher Place (Remixes),1o64xtWqLXH1qB6Sdmy7nr
Are You With Me - Radio Edit___Lost Frequencies,0.763,0.61,5,-8.094,0,0.0355,0.275,2.71e-05,0.12,0.392,121.031,audio_features,62nhuooamoroYpJyqE0nLd,spotify:track:62nhuooamoroYpJyqE0nLd,https://api.spotify.com/v1/tracks/62nhuooamoroYpJyqE0nLd,https://api.spotify.com/v1/audio-analysis/62nhuooamoroYpJyqE0nLd,138013,4,Less Is More,5HXThyoACKMuMdRU5HosWH
Kids - Seeb Remix___OneRepublic,0.634,0.853,2,-2.798,1,0.0537,0.13,0,0.0774,0.443,102.074,audio_features,3KxA3AlLpX2RXaARLnpuCt,spotify:track:3KxA3AlLpX2RXaARLnpuCt,https://api.spotify.com/v1/tracks/3KxA3AlLpX2RXaARLnpuCt,https://api.spotify.com/v1/audio-analysis/3KxA3AlLpX2RXaARLnpuCt,195307,4,Kids (Seeb Remix),3CHk9vSOtbbVQZ1r37zXiT
In Your Wake (feat. Jeza) - Original Mix___ILLENIUM,0.408,0.725,11,-5.342,0,0.0682,0.106,0.000142,0.0961,0.139,140.0,audio_features,67DcPGCotQouOUyRAkiVZj,spotify:track:67DcPGCotQouOUyRAkiVZj,https://api.spotify.com/v1/tracks/67DcPGCotQouOUyRAkiVZj,https://api.spotify.com/v1/audio-analysis/67DcPGCotQouOUyRAkiVZj,328500,4,In Your Wake (feat. Jeza),2QrOsMVOOCeSaWYaerwafs
月亮代表我的心___Leslie Cheung,0.348,0.306,4,-16.641,1,0.0392,0.866,0.00321,0.375,0.211,144.077,audio_features,0f75S9HDJ7g3GPpTVY7xhn,spotify:track:0f75S9HDJ7g3GPpTVY7xhn,https://api.spotify.com/v1/tracks/0f75S9HDJ7g3GPpTVY7xhn,https://api.spotify.com/v1/audio-analysis/0f75S9HDJ7g3GPpTVY7xhn,246960,4,Forever Leslie,2FTDSvJfBSyQX4rPdCaTwz
Nevada___Vicetone,0.605,0.783,3,-4.271,1,0.0324,0.299,0.000175,0.133,0.105,124.015,audio_features,02shCNmb6IvgB5jLqKjtkK,spotify:track:02shCNmb6IvgB5jLqKjtkK,https://api.spotify.com/v1/tracks/02shCNmb6IvgB5jLqKjtkK,https://api.spotify.com/v1/audio-analysis/02shCNmb6IvgB5jLqKjtkK,208562,4,Nevada,35waq1Bkgy11OjZNGuk9Gj
Proxy___Martin Garrix,0.682,0.698,0,-5.679,1,0.0335,0.0087,0.834,0.237,0.257,128.059,audio_features,3iLzyDMXB7QXX2RjtmJFOn,spotify:track:3iLzyDMXB7QXX2RjtmJFOn,https://api.spotify.com/v1/tracks/3iLzyDMXB7QXX2RjtmJFOn,https://api.spotify.com/v1/audio-analysis/3iLzyDMXB7QXX2RjtmJFOn,279385,4,Proxy,25y6Xtp0vTDB7SIIraJ6kW
Melody - Radio Mix___Dimitri Vegas & Like Mike,0.461,0.975,3,-3.245,0,0.174,0.0375,0.562,0.366,0.0784,129.978,audio_features,2wwN7CGIhd6a0E5QxE1MvZ,spotify:track:2wwN7CGIhd6a0E5QxE1MvZ,https://api.spotify.com/v1/tracks/2wwN7CGIhd6a0E5QxE1MvZ,https://api.spotify.com/v1/audio-analysis/2wwN7CGIhd6a0E5QxE1MvZ,223385,4,Melody (Radio Mix),0Ah4SbBsCAwggeZhmb6oIC
Now Or Never - Estiva Vs. Juventa Remix___Tritonal,0.639,0.775,9,-5.771,1,0.224,0.004,0.000409,0.15,0.265,128.007,audio_features,3LQxo27aEIRGxAypPq9fFs,spotify:track:3LQxo27aEIRGxAypPq9fFs,https://api.spotify.com/v1/tracks/3LQxo27aEIRGxAypPq9fFs,https://api.spotify.com/v1/audio-analysis/3LQxo27aEIRGxAypPq9fFs,337500,4,Now Or Never (Remixes Pt. 2),0ArhA4X9j68xgDstoGW4sp
