,name,artistName,trackName,msPlayed,datetime,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,,,,,,,,,,
0,Fractures (feat. Nevve)___ILLENIUM,ILLENIUM,Fractures (feat. Nevve),245250,12/14/19 20:33,0.41,0.711,-3.064,0.0432,0.373,0.00179,0.139,0.266,159.837,245250,,,,,,,,,,
1,Take You Down___ILLENIUM,ILLENIUM,Take You Down,54028,12/14/19 20:34,0.275,0.657,-3.9,0.0431,0.396,0.000148,0.305,0.219,169.638,221398,,,,,,,,,,
2,Sound of Walking Away___ILLENIUM,ILLENIUM,Sound of Walking Away,77585,12/14/19 20:35,0.345,0.79,-2.761,0.065,0.075,0.000165,0.101,0.208,179.849,253333,,,,,,,,,,
3,Rush Over Me___Seven Lions,Seven Lions,Rush Over Me,6555,12/14/19 20:35,0.441,0.753,-4.074,0.044,0.0701,0,0.027,0.254,135.015,259556,,,,,,,,,,
4,Pray ft. Kameron (Blanke Remix)___ILLENIUM,ILLENIUM,Pray ft. Kameron (Blanke Remix),10486,12/14/19 20:35,0.484,0.619,-5.581,0.0558,0.0087,0,0.109,0.345,163.965,228659,,,,,,,,,,
5,Reverie___ILLENIUM,ILLENIUM,Reverie,7359,12/14/19 20:36,0.375,0.693,-4.475,0.0555,0.0197,0.000396,0.111,0.0892,173.906,299657,,,,,,,,,,
6,Lost___ILLENIUM,ILLENIUM,Lost,41067,12/14/19 20:40,0.913,0.603,-4.892,0.226,0.0272,0.000503,0.167,0.497,123.061,234093,,,,,,,,,,
7,Crawl Outta Love___ILLENIUM,ILLENIUM,Crawl Outta Love,242011,12/14/19 20:40,0.376,0.723,-2.951,0.046,0.178,0,0.0815,0.167,84.146,242012,,,,,,,,,,
8,I'll Be Your Reason___ILLENIUM,ILLENIUM,I'll Be Your Reason,219882,12/14/19 20:44,0.559,0.777,-5.64,0.369,0.0251,0.000198,0.246,0.352,170.114,219882,,,,,,,,,,
9,Afterlife___ILLENIUM,ILLENIUM,Afterlife,345647,12/14/19 20:50,0.46,0.622,-4.886,0.0425,0.0904,9.23E-06,0.255,0.212,88.03,364091,,,,,,,,,,
10,Say It - Illenium Remix___Flume,Flume,Say It - Illenium Remix,1548,12/14/19 20:50,0.482,0.769,-4.473,0.0549,0.0343,0.00498,0.0953,0.427,149.69,267200,,,,,,,,,,
11,In Your Wake (feat. Jeza) - Original Mix___ILLENIUM,ILLENIUM,In Your Wake (feat. Jeza) - Original Mix,3922,12/14/19 20:50,0.408,0.725,-5.342,0.0682,0.106,0.000142,0.0961,0.139,140,328500,,,,,,,,,,
12,Sound of Where'd U Go___ILLENIUM,ILLENIUM,Sound of Where'd U Go,200000,12/14/19 20:53,0.602,0.763,-3.547,0.27,0.0038,0.000144,0.102,0.234,180.004,200000,,,,,,,,,,
13,Silence - Illenium Remix___Marshmello,Marshmello,Silence - Illenium Remix,23160,12/14/19 20:54,0.475,0.801,-3.071,0.0381,0.0483,0.00178,0.239,0.296,141.92,205120,,,,,,,,,,
14,That’s Why (with GOLDN)___ILLENIUM,ILLENIUM,That’s Why (with GOLDN),252912,12/14/19 20:59,0.487,0.621,-4.676,0.0333,0.091,0,0.132,0.178,140.04,252913,,,,,,,,,,
15,So Wrong___ILLENIUM,ILLENIUM,So Wrong,263158,12/14/19 21:13,0.533,0.855,-5.309,0.0877,0.0528,1.63E-06,0.0774,0.184,99.974,302400,,,,,,,,,,
16,Without You___ILLENIUM,ILLENIUM,Without You,1459,12/14/19 21:37,0.662,0.413,-7.357,0.0299,0.213,0,0.134,0.467,93.005,161385,,,,,,,,,,
17,With You___ILLENIUM,ILLENIUM,With You,1112,12/14/19 21:37,0.676,0.697,-5.934,0.0412,0.0772,4.65E-05,0.326,0.118,89.95,186125,,,,,,,,,,
18,Fortress - Just A Gent Remix___ILLENIUM,ILLENIUM,Fortress - Just A Gent Remix,2533,12/14/19 21:37,0.6,0.76,-4.964,0.262,0.0842,0.000125,0.237,0.421,129.896,227087,,,,,,,,,,
19,Gold (Stupid Love)___Excision,Excision,Gold (Stupid Love),24716,12/14/19 21:37,0.363,0.735,-3.857,0.0428,0.0014,0.000119,0.13,0.0721,145.556,295890,,,,,,,,,,
20,Gold (Stupid Love)___Excision,Excision,Gold (Stupid Love),6881,12/14/19 21:37,0.363,0.735,-3.857,0.0428,0.0014,0.000119,0.13,0.0721,145.556,295890,,,,,,,,,,
21,Sleepwalker___ILLENIUM,ILLENIUM,Sleepwalker,625,12/14/19 21:37,0.29,0.844,-4.235,0.065,0.0519,2.67E-05,0.0805,0.174,159.916,250500,,,,,,,,,,
22,Only One___ILLENIUM,ILLENIUM,Only One,1585,12/14/19 21:37,0.364,0.748,-4.279,0.17,0.137,0,0.102,0.288,179.891,252000,,,,,,,,,,
23,Lonely (with Chandler Leighton)___ILLENIUM,ILLENIUM,Lonely (with Chandler Leighton),1464,12/14/19 21:37,0.451,0.402,-4.63,0.0286,0.597,3.77E-06,0.294,0.129,92.93,270968,,,,,,,,,,
24,Lonely (with Chandler Leighton)___ILLENIUM,ILLENIUM,Lonely (with Chandler Leighton),1601,12/14/19 21:37,0.451,0.402,-4.63,0.0286,0.597,3.77E-06,0.294,0.129,92.93,270968,,,,,,,,,,
25,God Damnit (with Call Me Karizma)___ILLENIUM,ILLENIUM,God Damnit (with Call Me Karizma),1382,12/14/19 21:37,0.68,0.618,-5.469,0.0977,0.293,0,0.252,0.366,96.111,215874,,,,,,,,,,
26,In Your Arms (with X Ambassadors)___ILLENIUM,ILLENIUM,In Your Arms (with X Ambassadors),220730,12/14/19 21:41,0.404,0.806,-4.75,0.0496,0.198,0,0.114,0.112,148.036,220730,,,,,,,,,,
27,Crashing (feat. Bahari)___ILLENIUM,ILLENIUM,Crashing (feat. Bahari),230000,12/14/19 21:45,0.582,0.681,-6.138,0.0458,0.342,0,0.186,0.273,95.995,230000,,,,,,,,,,
28,Takeaway___The Chainsmokers,The Chainsmokers,Takeaway,209880,12/14/19 21:48,0.528,0.511,-8.144,0.0324,0.126,0,0.101,0.351,100.1,209880,,,,,,,,,,
29,Where The Wild Things Are___Zeds Dead,Zeds Dead,Where The Wild Things Are,91237,12/14/19 21:50,0.344,0.672,-5.888,0.0586,0.00877,1.04E-06,0.196,0.133,164.197,299240,,,,,,,,,,
30,Feel Good (feat. Daya)___Gryffin,Gryffin,Feel Good (feat. Daya),248156,12/14/19 21:54,0.625,0.707,-4.761,0.0337,0.22,0,0.213,0.479,138.064,248156,,,,,,,,,,
31,Don't Give up on Me___ILLENIUM,ILLENIUM,Don't Give up on Me,73062,12/14/19 21:55,0.487,0.94,-3.704,0.367,0.00367,0.00549,0.0914,0.223,150.102,279200,,,,,,,,,,
32,Leaving___ILLENIUM,ILLENIUM,Leaving,234857,12/14/19 21:59,0.281,0.639,-3.452,0.0381,0.0359,1.70E-05,0.951,0.186,140.776,234857,,,,,,,,,,
33,It's All on U - T-Mass & LZRD Remix___ILLENIUM,ILLENIUM,It's All on U - T-Mass & LZRD Remix,204778,12/14/19 22:03,0.536,0.782,-4.139,0.0485,0.039,3.64E-05,0.0691,0.405,154.93,204778,,,,,,,,,,
34,Broken Ones (with Anna Clendening)___ILLENIUM,ILLENIUM,Broken Ones (with Anna Clendening),198285,12/14/19 22:06,0.545,0.668,-3.962,0.0906,0.148,0,0.372,0.249,149.988,198286,,,,,,,,,,
35,Hard To Say Goodbye (feat. Chloe Angelides)___Ekali,Ekali,Hard To Say Goodbye (feat. Chloe Angelides),197100,12/14/19 22:09,0.546,0.764,-4.641,0.053,0.0803,8.84E-06,0.0971,0.355,152.994,197100,,,,,,,,,,
36,Good Things Fall Apart (with Jon Bellion)___ILLENIUM,ILLENIUM,Good Things Fall Apart (with Jon Bellion),216668,12/14/19 22:13,0.643,0.594,-5.453,0.0318,0.0128,0,0.118,0.442,144.033,216668,,,,,,,,,,
37,Beautiful Creatures (feat. MAX)___ILLENIUM,ILLENIUM,Beautiful Creatures (feat. MAX),92861,12/14/19 22:28,0.589,0.826,-4.577,0.0776,0.0663,0.000735,0.367,0.215,117.099,240508,,,,,,,,,,
38,Hold On (with Georgia Ku)___ILLENIUM,ILLENIUM,Hold On (with Georgia Ku),3550,12/14/19 22:59,0.506,0.744,-3.605,0.042,0.0463,6.62E-06,0.52,0.396,76.056,235263,,,,,,,,,,
39,Takeaway___The Chainsmokers,The Chainsmokers,Takeaway,3841,12/14/19 22:59,0.528,0.511,-8.144,0.0324,0.126,0,0.101,0.351,100.1,209880,,,,,,,,,,
40,Good Things Fall Apart (with Jon Bellion)___ILLENIUM,ILLENIUM,Good Things Fall Apart (with Jon Bellion),2030,12/14/19 22:59,0.643,0.594,-5.453,0.0318,0.0128,0,0.118,0.442,144.033,216668,,,,,,,,,,
41,Feel Good (feat. Daya)___Gryffin,Gryffin,Feel Good (feat. Daya),341,12/14/19 22:59,0.625,0.707,-4.761,0.0337,0.22,0,0.213,0.479,138.064,248156,,,,,,,,,,
42,Feel Good (feat. Daya)___Gryffin,Gryffin,Feel Good (feat. Daya),1769,12/14/19 22:59,0.625,0.707,-4.761,0.0337,0.22,0,0.213,0.479,138.064,248156,,,,,,,,,,
43,In Your Arms (with X Ambassadors)___ILLENIUM,ILLENIUM,In Your Arms (with X Ambassadors),837,12/14/19 23:00,0.404,0.806,-4.75,0.0496,0.198,0,0.114,0.112,148.036,220730,,,,,,,,,,
44,Good Things Fall Apart (with Jon Bellion)___ILLENIUM,ILLENIUM,Good Things Fall Apart (with Jon Bellion),216668,12/14/19 23:03,0.643,0.594,-5.453,0.0318,0.0128,0,0.118,0.442,144.033,216668,,,,,,,,,,
45,Feel Good (feat. Daya)___Gryffin,Gryffin,Feel Good (feat. Daya),248156,12/14/19 23:07,0.625,0.707,-4.761,0.0337,0.22,0,0.213,0.479,138.064,248156,,,,,,,,,,
46,Hard To Say Goodbye (feat. Chloe Angelides)___Ekali,Ekali,Hard To Say Goodbye (feat. Chloe Angelides),197100,12/14/19 23:11,0.546,0.764,-4.641,0.053,0.0803,8.84E-06,0.0971,0.355,152.994,197100,,,,,,,,,,
47,Takeaway___The Chainsmokers,The Chainsmokers,Takeaway,209880,12/14/19 23:14,0.528,0.511,-8.144,0.0324,0.126,0,0.101,0.351,100.1,209880,,,,,,,,,,
48,Good Things Fall Apart (with Jon Bellion)___ILLENIUM,ILLENIUM,Good Things Fall Apart (with Jon Bellion),216668,12/14/19 23:18,0.643,0.594,-5.453,0.0318,0.0128,0,0.118,0.442,144.033,216668,,,,,,,,,,
49,Crashing (feat. Bahari)___ILLENIUM,ILLENIUM,Crashing (feat. Bahari),80445,12/14/19 23:19,0.582,0.681,-6.138,0.0458,0.342,0,0.186,0.273,95.995,230000,,,,,,,,,,
50,Hold On (with Georgia Ku)___ILLENIUM,ILLENIUM,Hold On (with Georgia Ku),1766,12/14/19 23:21,0.506,0.744,-3.605,0.042,0.0463,6.62E-06,0.52,0.396,76.056,235263,,,,,,,,,,
51,Beautiful Creatures (feat. MAX)___ILLENIUM,ILLENIUM,Beautiful Creatures (feat. MAX),101247,12/14/19 23:21,0.589,0.826,-4.577,0.0776,0.0663,0.000735,0.367,0.215,117.099,240508,,,,,,,,,,
52,Say It - Illenium Remix___Flume,Flume,Say It - Illenium Remix,1020,12/14/19 23:34,0.482,0.769,-4.473,0.0549,0.0343,0.00498,0.0953,0.427,149.69,267200,,,,,,,,,,
53,Never Say Goodbye - Wildstylez Radio Edit___Hardwell,Hardwell,Never Say Goodbye - Wildstylez Radio Edit,9845,12/15/19 19:13,0.455,0.834,-3.408,0.0329,0.116,0.000127,0.705,0.37,148.043,197838,,,,,,,,,,
54,Tsunami - Original Mix___DVBBS,DVBBS,Tsunami - Original Mix,236826,12/15/19 19:16,0.758,0.887,-6.167,0.0577,0.00145,0.199,0.0832,0.824,124.992,330075,,,,,,,,,,
55,Big Bang (2015 Life In Color Anthem) - Zestty & Lev Remix Edit___Borgeous,Borgeous,Big Bang (2015 Life In Color Anthem) - Zestty & Lev Remix Edit,185678,12/15/19 19:20,0.629,0.95,-4.199,0.0646,0.00075,0.527,0.378,0.0643,128.057,185678,,,,,,,,,,
56,Alarm - Marshmello Remix___Anne-Marie,Anne-Marie,Alarm - Marshmello Remix,219718,12/15/19 19:23,0.684,0.975,-0.045,0.0904,0.0429,0,0.064,0.7,141.994,219718,,,,,,,,,,
57,Million Voices___Otto Knows,Otto Knows,Million Voices,357506,12/15/19 19:29,0.582,0.894,-6.298,0.041,0.0022,0.0223,0.0664,0.0694,125.946,192867,,,,,,,,,,
